topo,seed,flowNum,cc,randOffset,slots,multiFactor,state,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil
fat,113,128,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,113,128,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,114,144,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000000.0,0.2,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000000.0,0.5,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000000.0,0.7,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000000.0,1,-1,-1,-1,-1,-1,-1
fat,114,144,t,1,1000000.0,1.5,-1,-1,-1,-1,-1,-1
fat,115,160,t,0,-1,-1,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,100,0.2,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,100,0.5,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,100,0.7,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,100,1,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,100,1.5,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000,0.2,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000,0.5,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000,0.7,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000,1,-1,-1,-1,-1,-1,-1
fat,115,160,t,1,1000,1.5,-1,-1,-1,-1,-1,-1
