state,topo,seed,flowNum,cc,randOffset,algo,params,maxFctNs,avgFctNs,mkspanJobNs,mkspanAllNs,dropPkts,linkUtil,runtimeS
1,fat,675,64,dctcp,1,bstSltNumLnspdSlt,,2641475968,2287620106.03125,2376531345 2196548501 2360173049 2306100920 2217475989 2313876140 2295122172 2331544517 2363060838 2375859422 2346779950 2363708793 2436659094 2362128769 2296068414 2397082549,2437544527,-1,-1,1958.71
1,fat,676,64,dctcp,1,bstSltNumLnspdSlt,,2594627238,2313237838.546875,2350052459 2418111512 2383452045 2245258107 2312030690 2353403599 2384930534 2410451426 2243293154 2380307832 2242734718 2417894087 2349965059 2383354598 2386019099 2296197521,2421258093,-1,-1,1957.15
1,fat,677,64,dctcp,1,bstSltNumLnspdSlt,,2573077310,2255733569.984375,2184665369 2302161420 2147384813 2341476557 2322151518 2341970494 2305789347 2219498278 2148241130 2243184369 2397451173 2194376531 2365984995 2338939386 2284935274 2343459584,2432451220,-1,-1,1933.19
1,fat,678,64,timely,0,-1,-1.0,2351462224,2342875305.46875,2351462224 2347966305 2344897494 2350730151 2349992922 2349209006 2345049455 2350698154 2349215970 2338976641 2345902856 2350329011 2349093685 2350520438 2350450850 2351120741,2351462239,-1,-1,2116.93
1,fat,679,64,timely,0,-1,-1.0,2351334093,2342611192.75,2351230102 2349876082 2348180454 2348471003 2350179045 2351334134 2348165282 2348032721 2347028695 2351210444 2349693846 2346736072 2348922387 2349544904 2348859661 2348139376,2351334144,-1,-1,2119.72
1,fat,680,64,timely,0,-1,-1.0,2351276266,2342726846.5,2350494483 2350259465 2351276288 2350768125 2348734669 2349054144 2348637284 2350759778 2349782880 2341412368 2346870742 2351014218 2349789082 2349486126 2344388503 2349341421,2351276295,-1,-1,2140.19
1,fat,681,64,timely,1,bstSltNumLnspdSlt,,2502596012,2160454353.453125,2314195888 2292424953 2307980289 2158839363 2350127227 2141601115 2352869463 2318841959 2140812615 2209161524 2258281144 2264029050 2270132700 2312969471 2305615237 2338833016,2353842037,-1,-1,2081.33
1,fat,682,64,timely,1,bstSltNumLnspdSlt,,2452261729,2147766394.015625,2333305919 2251380803 2178203071 2262752250 2178511085 2211384177 2212363135 2275303248 2306217933 2312727436 2168397414 2353541194 2231622567 2243565958 2239264400 2292111119,2354511123,-1,-1,2071.1
1,fat,683,64,timely,1,bstSltNumLnspdSlt,,2457633854,2147463199.34375,2207690249 2275765012 2209490630 2207140991 2318653754 2246937400 2138466325 2136126312 2199337882 2309902255 2344241079 2238383239 2283019945 2176539785 2353116110 2319030165,2354030169,-1,-1,2108.72
1,fat,684,64,hpccPint,0,-1,-1.0,2460609598,2458836827.25,2460002539 2460447670 2460446718 2458559657 2460496313 2459574488 2460476850 2459942394 2460061253 2460585762 2460486115 2459208175 2460391460 2460609660 2460104849 2459969780,2460609691,-1,-1,2076.92
1,fat,685,64,hpccPint,0,-1,-1.0,2460586343,2458741253.046875,2460096033 2459532152 2460264792 2459737159 2460176159 2460555005 2460043651 2460281190 2460443246 2459401353 2460401384 2460202173 2460210551 2460170821 2460417080 2460586345,2460586359,-1,-1,2105.92
1,fat,686,64,hpccPint,0,-1,-1.0,2460543109,2459106597.34375,2460493562 2459580038 2460143115 2460104543 2460543147 2459571399 2460424762 2460294576 2459852860 2459629263 2460460112 2460471628 2460344833 2460230272 2460462761 2459983181,2460543174,-1,-1,2058.12
0,fat,687,64,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
0,fat,688,64,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,689,64,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
