state,topo,seed,flowNum,cc,randOffset,slots,multiFactor,maxFctNs,avgFctNs,makespanNs,dropPkts,linkUtil,runtimeS
-1,fat,109,16,hpccPint,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,109,16,hpccPint,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,110,128,dcqcn,1,1000000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,0,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,100.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,100.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,100.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,100.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,100.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000.0,0.7,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000.0,1.0,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000.0,1.5,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000000.0,0.2,-1,-1.0,-1,-1,-1,-1.0
-1,fat,111,128,hp,1,1000000.0,0.5,-1,-1.0,-1,-1,-1,-1.0
