state,topo,seed,flowNum,cc,randOffset,algo,params,maxFctNs,avgFctNs,mkspanJobNs,mkspanAllNs,dropPkts,linkUtil,runtimeS
1,fat,356,64,timely,1,bstSltNumLnspdSlt,,2469545863,2178844498.421875,2347184544 2352847974 2284107909 2246790625 2224285767 2150562884 2268321197 2210464698 2340757289 2194530309 2138137998 2314298404 2345041413 2244821908 2316445836 2255235284,2354107939,-1,-1,5641.77
1,fat,357,64,hpccPint,1,bstSltNumLnspdSlt,,2537526476,2252581668.875,2397369294 2431761790 2316214532 2338504922 2355974420 2457690531 2420419088 2469348038 2397147604 2359996630 2434300893 2409637496 2469273244 2399127807 2396526886 2373030029,2469348099,-1,-1,5656.71
1,fat,358,64,hpccPint,1,bstSltNumLnspdSlt,,2589332127,2278509043.90625,2465927647 2405569897 2448117402 2180325947 2292328027 2447974444 2455838535 2408107931 2468289638 2401318685 2429052019 2272332176 2433411180 2314918772 2341990540 2287186745,2468411255,-1,-1,5646.25
1,fat,359,64,hpccPint,1,bstSltNumLnspdSlt,,2615737786,2275818747.828125,2325309440 2185255397 2362077909 2351309171 2468180832 2402933377 2278351669 2148776707 2409871604 2443848477 2171230584 2397904831 2388616337 2430429254 2325333231 2384411244,2468255492,-1,-1,5712.71
0,fat,360,128,dcqcn,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
0,fat,361,128,dcqcn,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
0,fat,362,128,dcqcn,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
0,fat,363,128,hp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
0,fat,364,128,hp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,365,128,hp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,366,128,dctcp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,367,128,dctcp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,368,128,dctcp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,369,128,timely,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,370,128,timely,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,371,128,timely,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,372,128,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,373,128,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,374,128,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,375,256,dcqcn,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,376,256,dcqcn,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,377,256,dcqcn,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,378,256,hp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,379,256,hp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,380,256,hp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,381,256,dctcp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,382,256,dctcp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,383,256,dctcp,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,384,256,timely,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,385,256,timely,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,386,256,timely,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,387,256,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
-1,fat,388,256,hpccPint,1,bstSltNumLnspdSlt,,-1,-1.0,-1,-1,-1,-1,-1.0
